seed,model,dropped_feature,dropped_idx,cos_vs_full_5dim_subset,significantly_misaligned,w_norm_5dim_subset,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza,w_anti_pobreza
9,openai,pro_confianza,5,0.9999167368329964,True,2.113879313670485,0.036372685221218504,0.30909096968609107,0.11200670946187334,0.013034289256790323,,2.0878003154831175
10,claude,NONE,-1,,True,1.837062344108645,,,,,,
10,claude,anti_pobreza,0,0.9507469059758238,True,0.484901605357541,0.004385284968795303,-0.48118491217625725,0.05028798556581765,0.028409933338286335,-0.015343097582845052,
10,claude,anti_deuda,1,0.999880850600002,True,1.8293329521656354,,-0.471585632446238,-0.08275221983797286,0.0180376911845735,-0.024931974067205473,1.7652963347911452
10,claude,pro_aprobacion,2,0.9998595230463013,True,1.7633236823197216,0.029644635113587153,,-0.11404568195108983,0.0372439912648834,-0.033143836394432614,1.7586755123929474
10,claude,pro_crecimiento,3,0.9997001218465853,True,1.8279701464974698,-0.0033094365131672737,-0.46276345312758027,,0.042573192295063234,-0.017485868915035365,1.7678222926107359
10,claude,anti_desviacion_inflacion,4,0.9999267585606241,True,1.82193354759538,0.023107427644544064,-0.46232525496404303,-0.08347313048227127,,-0.027493421359461874,1.7599544328001826
10,claude,pro_confianza,5,0.9996395848917222,True,1.8257266011629625,0.01961607099245539,-0.46339591577722056,-0.1010288577785623,0.06942403753724743,,1.761570472647024
10,openai,NONE,-1,,True,2.0655201076298595,,,,,,
10,openai,anti_pobreza,0,0.8949831234251042,True,0.37918837308253517,-0.054264525166273274,0.20973707168423172,0.29631424307459786,-0.001848892224973063,0.09509992271001463,
10,openai,anti_deuda,1,0.9999544844185108,True,2.074754397666939,,0.31709424236247535,0.17408207957817376,0.0005369621880995346,0.055206989307254394,2.0422302469780056
10,openai,pro_aprobacion,2,0.9998648575256652,True,2.0131464474985226,-0.02552993780905984,,0.17109009266761094,0.015646127864886557,0.04269235988388255,2.0051851741504465
10,openai,pro_crecimiento,3,0.9999222882214793,True,2.0598774896780894,-0.05543201825822837,0.294804222651924,,0.0032516530625043578,0.0461696325561735,2.0373931446637665
10,openai,anti_desviacion_inflacion,4,0.9998498554531903,True,2.0577065449713503,-0.013514817123057353,0.3100404065908242,0.17242015654009674,,0.03379836564533017,2.026567906909475
10,openai,pro_confianza,5,0.999917626131101,True,2.06243037141427,-0.034643306789274915,0.292442059524324,0.1764871194539011,-0.007737127495463434,,2.0336393371423713
11,claude,NONE,-1,,True,1.499438649039753,,,,,,
11,claude,anti_pobreza,0,0.8990179447248834,True,0.2742926663894246,0.01698464811314953,-0.25740314556988697,0.020492527537071828,-0.09090180796783327,-0.00292007492057291,
11,claude,anti_deuda,1,0.9996145335144425,True,1.4916627822935837,,-0.20388598348247727,-0.08113022366283133,-0.05178846911819524,-0.038012134657023224,1.4740350337467722
11,claude,pro_aprobacion,2,0.9999913095117283,True,1.4702748117640643,0.02434797418392779,,-0.08423894186424971,-0.0676830999968917,0.0009533595725465873,1.4660958659019954
11,claude,pro_crecimiento,3,0.9996634770311944,True,1.4895262844057948,0.024746018480227835,-0.20837776374152275,,-0.06675138886963874,-0.04023716225588826,1.4726099676902769
11,claude,anti_desviacion_inflacion,4,0.9997680514827761,True,1.4843867141368459,0.019167413805554454,-0.20454858594588773,-0.082581172589774,,-0.03204282823338351,1.4674297293001903
11,claude,pro_confianza,5,0.9998271505221614,True,1.5015515469567382,0.01270307988484278,-0.1991898267910862,-0.07003423499024757,-0.06236926395343088,,1.485269124999166
11,openai,NONE,-1,,True,2.0020931345499484,,,,,,
11,openai,anti_pobreza,0,0.9298727408463485,True,0.38866623308266723,-0.07345281293836256,0.3126954369764061,0.2090631972306689,0.03664109091271661,0.053270054671110005,
11,openai,anti_deuda,1,0.9996263952656476,True,1.9926648382961691,,0.40221358964700127,0.07500773089985549,0.06619440488603347,0.01695650981454348,1.949010519193552
11,openai,pro_aprobacion,2,0.9999061864449799,True,1.9285679722938114,-0.061520772922880475,,0.08482891148481571,0.03989967327032518,0.008317457798015362,1.9252876434448531
11,openai,pro_crecimiento,3,0.999790535364712,True,2.000634507466355,-0.07658237812294091,0.4257290448938511,,0.03824896377955315,-0.008899408464311693,1.9529173483429154
11,openai,anti_desviacion_inflacion,4,0.9999648481679543,True,1.988270406836345,-0.0472778167442859,0.40427988823768624,0.10280010170200274,,0.02184560049411618,1.9433210490139534
11,openai,pro_confianza,5,0.9997851464894741,True,2.0244096727169354,-0.04417397054768913,0.42113612848523785,0.0844650587334744,0.05246720705263881,,1.9771293307817912
12,claude,NONE,-1,,True,1.0815475917766755,,,,,,
