N,k,converged,cos_to_true,cos_err,l2_err_direction,w_norm,error
50,191,True,0.959993127565737,0.04000687243426304,0.28286700915540863,1.0813629950514165,
50,192,True,0.8491735335151279,0.15082646648487208,0.5492293992219863,1.3881490376799455,
50,193,True,0.9054144801394683,0.09458551986053165,0.43493797226853315,0.8276942716955653,
50,194,True,0.9110746756141794,0.08892532438582057,0.42172342687078834,0.8076354746053583,
50,195,True,0.9377710675832588,0.06222893241674121,0.3527858625759856,1.2631028951166234,
50,196,True,0.8612886319861983,0.13871136801380168,0.5267093468200499,1.5567548871516337,
50,197,True,0.9796950004974758,0.02030499950252418,0.20151922738301764,1.1267763399534692,
50,198,True,0.909794730760512,0.09020526923948802,0.4247476173905816,1.156697752705894,
50,199,True,0.8535255928267362,0.14647440717326377,0.5412474612841406,1.364628908089874,
100,0,True,0.9736947126336715,0.026305287366328534,0.22936995167775817,0.8166668355665704,
100,1,True,0.9603430599291614,0.03965694007083864,0.2816272006424048,1.1335977645179163,
100,2,True,0.9845135261169851,0.01548647388301494,0.17599132866715364,1.0275807398874115,
100,3,True,0.9795805356874427,0.020419464312557256,0.2020864384987636,1.1847967535295971,
100,4,True,0.9162734436530414,0.08372655634695858,0.4092103526230944,1.0202226506224474,
100,5,True,0.940351242240264,0.05964875775973599,0.34539472422066925,1.0581334868481318,
100,6,True,0.9735693607121794,0.026430639287820634,0.2299158075810377,1.1300303912649012,
100,7,True,0.9610461204428029,0.03895387955719709,0.27911961434910626,0.9297459065759719,
100,8,True,0.9785629006700732,0.021437099329926768,0.20706085738220437,1.027660971755098,
100,9,True,0.9938060718089321,0.006193928191067899,0.11130074744643659,1.1948364553381274,
100,10,True,0.9541032935165091,0.04589670648349087,0.30297427773159513,1.0627943983604682,
100,11,True,0.9906647500690078,0.009335249930992218,0.13664003755116738,1.0509432131276246,
100,12,True,0.9444339859521771,0.05556601404782291,0.33336470733364365,1.0288987263030023,
100,13,True,0.9660747958549587,0.0339252041450413,0.2604811092768202,0.8800295015202618,
100,14,True,0.9611565131043232,0.03884348689567685,0.2787238306843418,1.248199431938558,
100,15,True,0.9765977578205207,0.023402242179479282,0.2163434407578806,1.0692473525543864,
100,16,True,0.9826266643608585,0.017373335639141452,0.18640459028222137,1.0823908607388295,
100,17,True,0.9515990769419671,0.048400923058032896,0.3111299505288197,0.9132773770286716,
100,18,True,0.9789247899975088,0.02107521000249124,0.20530567455621598,1.2570488880115853,
100,19,True,0.9671241521409801,0.03287584785901987,0.2564209346329576,1.098089600737723,
100,20,True,0.9761942319601697,0.023805768039830255,0.21820067845829524,1.0167070443757749,
100,21,True,0.9833727366461862,0.016627263353813815,0.18235823729030548,1.0235508703255698,
100,22,True,0.9916346353105037,0.008365364689496335,0.12934732072599206,1.3707186307342754,
100,23,True,0.9594471599436059,0.040552840056394146,0.2847905899301945,1.421139747340437,
100,24,True,0.9279215149914231,0.07207848500857694,0.37968008904491407,0.7900082063399178,
